username,password,email,introduce,mbti,image,updated_at,see,is_selected
정희홍,dbwj1234,jbaeg@gimseo.com,"Eaque consectetur earum blanditiis aspernatur quis. Amet quaerat tempora unde corporis laudantium enim. Sint commodi officiis.
Blanditiis aliquid voluptatibus sit.",ISTJ,,2022-07-22 07:22:47,False,False
정자전,dbwj1234,doyun58@dreamwiz.com,"Ea fugiat autem quam. Perferendis corrupti similique repudiandae.
Velit eligendi vitae consequuntur sint. Voluptas cupiditate fugiat corrupti consequuntur ad. Dignissimos in exercitationem numquam.",INTJ,,2022-04-19 14:48:44,False,False
미정김,dbwj1234,yeongmi17@live.com,Inventore sint repellendus sit beatae ratione facere. Eum explicabo ducimus eaque beatae.,INTJ,,2021-06-28 05:49:44,True,True
지후이,dbwj1234,ogsuncoe@ju.net,Cupiditate alias iure eligendi hic eveniet. Temporibus molestiae distinctio aperiam maiores quas tempore.,ENFP,,2021-03-02 01:58:49,True,False
영희민,dbwj1234,yangeunjeong@nate.com,Quo illum molestias inventore saepe laudantium. Tenetur minus magni ratione. Unde ad nisi culpa quidem nesciunt quo quos.,,,2022-08-27 09:57:49,True,True
순옥강,dbwj1234,juweon31@nate.com,"Harum id officia. Molestiae dolore porro. Asperiores tempora non rerum quo quibusdam inventore.
Debitis vel laudantium. Quidem quis nihil asperiores incidunt hic ut. Sapiente eum id alias.",INFJ,,2022-07-21 07:37:03,False,True
병철고,dbwj1234,eunseo32@coeino.com,Quis dolore molestiae hic in. Id saepe perspiciatis maxime repudiandae tenetur est incidunt. Necessitatibus fugit nemo itaque quasi magni quam.,INFJ,,2024-02-09 01:03:36,True,True
정자김,dbwj1234,isangceol@igimi.net,"Excepturi natus excepturi incidunt blanditiis amet laborum. Eum beatae adipisci mollitia ex quam nihil.
Error ipsum nostrum. Mollitia similique quos aut consectetur consequuntur.",,,2021-05-21 00:57:07,True,False
민서최,dbwj1234,mijeonggwag@ju.net,Qui enim laudantium vitae. Aut quam earum molestiae ipsam ipsa molestias. Blanditiis necessitatibus rem illo nemo. Amet accusamus doloremque vitae necessitatibus.,ESFJ,,2022-06-22 02:10:23,True,True
진우차,dbwj1234,dgim@naver.com,"Itaque eum exercitationem harum dolore. Officia eveniet illo rem.
Qui ullam tempore voluptate voluptatem expedita illum. Nemo nostrum architecto modi.",ENFP,,2023-06-11 00:06:55,False,True
준혁이,dbwj1234,seonghunan@hotmail.com,Facere unde saepe inventore voluptates. Minima tempore nulla deserunt soluta perferendis architecto doloremque. At nostrum nam ab accusamus aliquam veritatis.,ENFP,,2022-01-10 10:09:29,False,True
정남오,dbwj1234,hyeonjunjeong@jusighoesa.net,"Neque perspiciatis id nihil culpa soluta. Accusamus reiciendis blanditiis eveniet non.
Alias corrupti nobis inventore. Eum ratione repudiandae. Aliquam accusamus dicta et aperiam porro.",INFP,,2022-01-01 20:17:32,True,False
